job_id,title,category,salary_id,currency,max_annual_salary,med_annual_salary,min_annual_salary
921716,Marketing Coordinator,Management,18531,USD,41600.0,38480.0,35360.0
1829192,Mental Health Therapist/Counselor,Healthcare,8059,USD,104000.0,83200.0,62400.0
10998357,Assitant Restaurant Manager,Management,14949,USD,65000.0,55000.0,45000.0
23221523,Senior Elder Law / Trusts and Estates Associate Attorney,Legal,11204,USD,175000.0,157500.0,140000.0
35982263, Service Technician,Engineering,20809,USD,80000.0,70000.0,60000.0
91700727,Economic Development and Planning Intern,Administrative,22209,USD,41600.0,35360.0,29120.0
103254301,Producer,Marketing,8609,USD,300000.0,180000.0,60000.0
112576855,Building Engineer,Engineering,3980,USD,120000.0,105000.0,90000.0
103860943,Customer Service / Reservationist,Support,34449,USD,39520.0,38480.0,37440.0
266566927,Marketing & Office Coordinator,Management,24698,USD,75000.0,65000.0,55000.0
266825034,Software Support Specialist,Consulting,8314,USD,65000.0,62500.0,60000.0
280496925,Coordinator for Multicultural Student Organizations,Management,23764,USD,57804.0,53268.0,48732.0
445337908,Chief Operating Officer,Management,36984,USD,110000.0,100000.0,90000.0
606178500,Associate Attorney,Legal,3936,USD,135000.0,120000.0,105000.0
705356075,TREC licensed Professional Home Inspector,Marketing,27239,USD,58240.0,54080.0,49920.0
805229245,"Manager, Retail Pharmacy",Management,12238,USD,165000.0,137500.0,110000.0
857299959,SALES,Sales,34712,USD,90000.0,65000.0,40000.0
1014822088,Marketing Specialist,Consulting,25947,USD,80000.0,75000.0,70000.0
1093227543,Sales Associate Natural Food Products,Sales,18842,USD,120000.0,90000.0,60000.0
1143359956,National Sales Manager,Management,14044,USD,85000.0,80000.0,75000.0
1183148438,"Montessori Lead Guide, Primary",Marketing,20245,USD,77000.0,61000.0,45000.0
1219205895,Director of Training,Management,4794,USD,140000.0,130000.0,120000.0
1448163866,Office Manager,Management,3901,USD,70000.0,67500.0,65000.0
1826257634,Social Security Specialist / Retirement Benefit Advisor (Remote),Consulting,14330,USD,52000.0,45760.0,39520.0
2147609766,Sales Representative,Sales,11961,USD,150000.0,110000.0,70000.0
2147609840,Mover/Junk Hauler/Crew Member,Logistics,11983,USD,52000.0,46800.0,41600.0
2404832493,Sales and Design consultant,Consulting,11687,USD,54080.0,50960.0,47840.0
2558399667,"Validation Engineer, Labware LIMS",Engineering,29720,USD,145600.0,135200.0,124800.0
2737009242,Service Manager,Management,31944,USD,90000.0,85000.0,80000.0
2748500131,Director of Public Works,Management,26061,USD,154398.4,142812.8,131227.2
2796728000,Fire Sprinkler Designer,Marketing,15175,USD,83200.0,70720.0,58240.0
2914254129,Director of Operations,Management,6742,USD,60000.0,57500.0,55000.0
2920450495,Service Coordinator,Management,9384,USD,75000.0,65000.0,55000.0
2954591060,Social Media Coordinator,Management,25578,USD,58240.0,55120.0,52000.0
2957460032,Professional Window Cleaning Technician,Engineering,477,USD,83200.0,67600.0,52000.0
2974397965,Marketing Coordinator,Management,26474,USD,85000.0,80000.0,75000.0
2989631782,Administrative Assistant - CONCUR,Administrative,38752,USD,90000.0,82500.0,75000.0
3045980831,Project Engineer,Engineering,30273,USD,90000.0,75000.0,60000.0
3075721793,Architect/Project Manager,Engineering,10077,USD,60000.0,55000.0,50000.0
3177010992,Customer Service Representative,Sales,24383,USD,105000.0,90000.0,75000.0
3189117072,Client Service Associate / Practice Manager,Management,36792,USD,100000.0,85000.0,70000.0
3211657373,Heavy Equipment Operator,Construction,23922,USD,72800.0,55120.0,37440.0
3219089287,Recruitment Manager,Management,22761,USD,100000.0,95000.0,90000.0
3260455681,Operations Specialist,Consulting,15091,USD,109113.0,90927.5,72742.0
3277232283,HR & Administrative Assistant,Administrative,10914,USD,72000.0,63500.0,55000.0
3297645846,Contract Administrator,Management,12887,USD,90000.0,82200.0,74400.0
3322949022,"Director, Investment Sales",Management,25865,USD,40000.0,20000.5,1.0
3363439517,Sanitation Supervisor,Management,24568,USD,56160.0,54080.0,52000.0
3398076960,Technical Product and IT Manager for Data Center Dedicated Server Leasing,Management,37494,USD,225000.0,155000.0,85000.0
3422171886,Social Media Manager and Graphic Designer,Management,39043,USD,62400.0,57200.0,52000.0
